"Feature","Gain","Cover","Frequency"
"f_lr_hash_inter2_2p18_noip",0.862593779994785,0.176902372838262,0.0599893476859249
"lapse_next_click_app",0.0229907270845231,0.0414649243292691,0.0377596501555799
"ip_hour_nb_clicks",0.0087736719730225,0.0439098522051716,0.0242760631289771
"ip_hour_nb_os",0.00733016358471616,0.0203468659885155,0.0214447901774451
"app_hour_clicks",0.00629967448516261,0.0330448809039721,0.040675020323494
"ip_hour_nb_channels",0.00618933282542539,0.0197805001063006,0.0180528691166989
"ip_hour_std_minute",0.00592226518859646,0.0402460996159827,0.02399573907437
"hour",0.00515755536512858,0.0163960583678158,0.0220334706921201
"os_hour_clicks",0.00495727161238968,0.0267683293331893,0.03579738177333
"lapse_next_click_os",0.00452099228690664,0.0138698414210782,0.0225660863958736
"ip_os_minute_std_second",0.0042615668075332,0.0127730666918175,0.0154178230033919
"lapse_next_click",0.00402764680768986,0.0139483924195505,0.0148011100832562
"lapse_next_click_device",0.00397188503785559,0.00568813521782015,0.00986740672217083
"lapse_prev_click_app",0.002890537564983,0.0173441890758619,0.0277801138115662
"lapse_prev_click",0.00264313862868761,0.0140307825383673,0.0161186331399097
"channel_hour_clicks",0.00261148878140084,0.033893658164444,0.0360777058279371
"ip_os_hour_clicks",0.00257307053298952,0.0260596297576798,0.0216690494211308
"ip_hour_nb_devices",0.00252931406550447,0.0062301539545643,0.00661564768872817
"ip_device_hour_clicks",0.00229865321518298,0.0195329297290379,0.017267961763799
"device_hour_clicks",0.00196206152151206,0.0137525997101619,0.0179968043057775
"ip_os_hour_std_minute",0.00178572820091581,0.012040459595145,0.0220334706921201
"ip_hour_nb_apps",0.00166172711065212,0.0096667135552371,0.0102878928040815
"app_hour_std_minute",0.00164216598387355,0.0147478789415859,0.0227062484231772
"app_hour_avg_minute",0.00158191574580561,0.0192168202331074,0.0236313178033807
"ip_os_hour_avg_minute",0.00154459561038267,0.0196660851690426,0.0246124519945056
"ip_app_hour_clicks",0.00139162725768197,0.0281942909375021,0.0167073136545847
"channel_hour_avg_minute",0.00139018906606869,0.0165053629635006,0.0232949289378522
"ip_hour_avg_minute",0.00136302993389973,0.0244987401635194,0.0241359011016735
"lapse_prev_click_os",0.00134524173397957,0.0126044024683024,0.0174641886020239
"ip_app_hour_std_minute",0.00128305915894978,0.00757302205370494,0.0180809015221596
"channel_hour_std_minute",0.00126058161688306,0.0149846896097866,0.021753146637513
"ip_device_hour_std_minute",0.00119711452936471,0.014178460831264,0.0174641886020239
"ip_minute_nb_os",0.00116802537725814,0.00509952355468796,0.00465337930647829
"ip_app_minute_std_second",0.00115242222672002,0.0117325965745453,0.0100075687494744
"ip_app_hour_avg_minute",0.00115199554470796,0.00714682915156259,0.0184172903876882
"os_hour_avg_minute",0.00103947460247455,0.0109828664313521,0.0170156701146525
"ip_device_hour_avg_minute",0.000980744366552082,0.00923599015916214,0.0167633784655061
"ip_minute_avg_second",0.000975970503853102,0.0112942395462681,0.0174081237911025
"minute",0.000957295474559264,0.00897378953557808,0.0149973369214812
"ip_os_minute_avg_second",0.000956765626493496,0.0139384214604274,0.017071734925574
"ip_minute_std_second",0.000860746340757093,0.00914361542798481,0.0147170128668741
"os_hour_std_minute",0.000845455168418381,0.0135915161854005,0.0149693045160205
"ip_device_minute_std_second",0.00076537208186473,0.0114778888500669,0.0128388417010064
"ip_app_minute_avg_second",0.000736150242501471,0.00573907432475883,0.0129790037283099
"lapse_prev_click_device",0.000735115262425801,0.00865262754386573,0.0114652538334314
"ip_device_minute_avg_second",0.000712329885976449,0.00668744985158194,0.0122221287808707
"device_hour_std_minute",0.000690988102566389,0.0106030702532428,0.011605415860735
"device_hour_avg_minute",0.000633162769559934,0.00976005883836905,0.011212962184285
"second",0.000627458825634137,0.00703377816132275,0.011212962184285
"ip_os_minute_clicks",0.000598092702107608,0.0123459797559333,0.00807333277268522
"ip_device_minute_clicks",0.000552077672827668,0.0081398933836476,0.00639138844504247
"ip_app_minute_clicks",0.000521093070971686,0.0097831734924508,0.00437305525187116
"ip_minute_nb_clicks",0.000502489666278037,0.0089950766657355,0.00714826339248171
"ip_minute_nb_channels",0.000381227716601074,0.00420355022637916,0.0051299301993104
"ip_minute_nb_apps",0.000379575303243361,0.00438854697038441,0.00546631906483895
"ip_minute_nb_devices",0.000124198153194821,0.00119025476473197,0.00148571748941777
